course_name,platform,language,url
Causal Diagrams: Draw Your Assumptions Before Your Conclusions,edX,English,https://www.classcentral.com/course/edx-causal-diagrams-draw-your-assumptions-before-your-conclusions-9097
Pattern Discovery in Data Mining,Coursera,English,https://www.classcentral.com/course/patterndiscovery-2733
Data Science: Visualization,edX,English,https://www.classcentral.com/course/edx-data-science-visualization-10347
Statistical Thinking for Data Science and Analytics,edX,English,https://www.classcentral.com/course/edx-statistical-thinking-for-data-science-and-analytics-4913
The Data Scientist’s Toolbox,Coursera,English,https://www.classcentral.com/course/datascitoolbox-1712
Cluster Analysis in Data Mining,Coursera,English,https://www.classcentral.com/course/clusteranalysis-2735
Developing Data Products,Coursera,English,https://www.classcentral.com/course/devdataprod-1720
Introduction to Analytics Modeling,edX,English,https://www.classcentral.com/course/edx-introduction-to-analytics-modeling-8217
Building R Packages,Coursera,English,https://www.classcentral.com/course/r-packages-7175
Applied Social Network Analysis in Python,Coursera,English,https://www.classcentral.com/course/python-social-network-analysis-6674
Data Science Capstone,Coursera,English,https://www.classcentral.com/course/data-science-project-2791
Introduction to Systematic Review and Meta-Analysis,Coursera,English,https://www.classcentral.com/course/systematicreview-3480
Regresión logística con NumPy y Python,Coursera,Spanish,https://www.classcentral.com/course/regresion-logistica-con-numpy-python-34103
The R Programming Environment,Coursera,English,https://www.classcentral.com/course/r-programming-environment-7170
Curso Completo de Data Science,Coursera,Spanish,https://www.classcentral.com/course/curso-completo-data-science-40298
 Visualización Avanzada de datos con Python,Coursera,Spanish,https://www.classcentral.com/course/visualizacion-avanzada-datos-python-33454
Visualización de datos con Seaborn,Coursera,Spanish,https://www.classcentral.com/course/visualizacion-datos-seaborn-32626
Data Analysis: Statistical Modeling and Computation in Applications,edX,English,https://www.classcentral.com/course/statistics-computation-and-applications-22414
Python معالجة مسبقة للبيانات و تحليلها بواسطة ,Coursera,Arabic,https://www.classcentral.com/course/data-wrangling-using-python-32731
Data Science: Machine Learning,edX,English,https://www.classcentral.com/course/edx-data-science-machine-learning-10353
Python para Data Science,Coursera,Spanish,https://www.classcentral.com/course/python-para-data-science-21253
大数据分析师（第一期）,XuetangX,Chinese,https://www.classcentral.com/course/xuetangx-16834
Building Resilient Streaming Systems on Google Cloud Platform 日本語版,Coursera,Japanese,https://www.classcentral.com/course/building-resilient-streaming-systems-gcp-jp-17865
مبادىء الاقتصاد القياسي وتطبيقاته باستخدام برنامج التحليل  SPSS الاحصائي,Rwaq (رواق),Arabic,https://www.classcentral.com/course/rwaq-ro-k-mb-d-l-kts-d-lky-sy-ottbyk-th-b-stkhd-m-brn-mg-lthlyl-spss-l-hs-y-3129
Serverless Data Analysis with Google BigQuery and Cloud Dataflow auf Deutsch,Coursera,German,https://www.classcentral.com/course/serverless-data-analysis-bigquery-cloud-dataflow--17874
High-Dimensional Data Analysis,edX,English,https://www.classcentral.com/course/edx-high-dimensional-data-analysis-2949
Serverless Data Analysis with Google BigQuery and Cloud Dataflow en Español,Coursera,Spanish,https://www.classcentral.com/course/serverless-data-analysis-bigquery-cloud-dataflow--17862
Building Resilient Streaming Systems on Google Cloud Platform en Français,Coursera,French,https://www.classcentral.com/course/building-resilient-streaming-systems-gcp-fr-17870
Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform en Español,Coursera,Spanish,https://www.classcentral.com/course/leveraging-unstructured-data-dataproc-gcp-es-17880
Building Resilient Streaming Systems on Google Cloud Platform auf Deutsch,Coursera,German,https://www.classcentral.com/course/building-resilient-streaming-systems-gcp-de-17876
Serverless Data Analysis with Google BigQuery and Cloud Dataflow en Français,Coursera,German,https://www.classcentral.com/course/serverless-data-analysis-bigquery-cloud--8759
Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform auf Deutsch,Coursera,German,https://www.classcentral.com/course/leveraging-unstructured-data-dataproc-gc-8757
Análisis de Datos - Proyecto Final,Coursera,Spanish,https://www.classcentral.com/course/analisis-datos-proyecto-final-5143
Building Resilient Streaming Systems on Google Cloud Platform,Coursera,German,https://www.classcentral.com/course/building-resilient-streaming-systems-gcp-8758
Building Resilient Streaming Systems on Google Cloud Platform en Español,Coursera,Spanish,https://www.classcentral.com/course/building-resilient-streaming-systems-gcp-es-17869
Serverless Data Analysis with Google BigQuery and Cloud Dataflow 日本語版,Coursera,Japanese,https://www.classcentral.com/course/serverless-data-analysis-bigquery-cloud-dataflow--17863
Data Science with Python - Beginners,Udemy,English,https://www.classcentral.com/course/udemy-educba-data-science-with-python-23351
Talend for Data Integration and Big data,Edureka,English,https://www.classcentral.com/course/edureka-talend-for-big-data-45321
Machine Learning Certification Training,Edureka,English,https://www.classcentral.com/course/edureka-machine-learning-certification-training-45259
Fundamentals of Data Science & Machine Learning with Python,Udemy,English,https://www.classcentral.com/course/udemy-complete-data-science-with-python-step-by-s-23821
[2021] Data Science: A-Z Bootcamp + Real Cases (Version 8.1),Udemy,English,https://www.classcentral.com/course/udemy-2021-data-science-a-z-bootcamp-real-cases-version-8-1-23336
Python Spark Certification Training using PySpark,Edureka,English,https://www.classcentral.com/course/edureka-pyspark-certification-training-45282
Hadoop Administration Certification Training,Edureka,English,https://www.classcentral.com/course/edureka-hadoop-administration-training-certificat-45286
Data Science Certification Course using R,Edureka,English,https://www.classcentral.com/course/edureka-data-science-r-programming-certification--45261
Informatica Certification Training,Edureka,English,https://www.classcentral.com/course/edureka-informatica-certification-training-45320
Tableau Certification Training,Edureka,English,https://www.classcentral.com/course/edureka-tableau-certification-training-45296
Big Data Hadoop Certification Training,Edureka,English,https://www.classcentral.com/course/edureka-big-data-hadoop-training-certification-45281
Data Presentation with Pandas,Coursera,English,https://www.classcentral.com/course/data-presentation-with-pandas-urfu-63068
Introduction to Widgets for Data Science,Coursera,English,https://www.classcentral.com/course/widgets-for-ds-37641
Data Science Certification Training with Python,Edureka,English,https://www.classcentral.com/course/edureka-data-science-python-certification-course-45256
Exploring and Analyzing Fifa's Datasets Using Python,Coursera,English,https://www.classcentral.com/course/analyzing-fifa-datasets-using-pandas-32699
Building COVID-19 Dashboard using Dash & Plotly,Coursera,English,https://www.classcentral.com/course/building-covid-19-dashboard-using-dash-plotly-41095
High-dimensional Data visualization techniques using python,Coursera,English,https://www.classcentral.com/course/high-dimensional-data-visualization-techniques-us-54338
Data Visualization using Bokeh,Coursera,English,https://www.classcentral.com/course/data-visualization-using-bokeh-58951
Visualization of UK accidents using Plotly Express,Coursera,English,https://www.classcentral.com/course/visualization-of-uk-accidents-using-plotly-expres-32747
Measurable COVID-19 agenda: sociological approach,Coursera,English,https://www.classcentral.com/course/measurable-covid-19-agenda-sociological-approach--63054
Data Analytics with R Certification Training,Edureka,English,https://www.classcentral.com/course/edureka-data-analytics-with-r-certification-train-45260
Big Data with Scala and Spark,Coursera,English,https://www.classcentral.com/course/spark-scala-big-data-33378
Google Trends Analysis using R,Coursera,English,https://www.classcentral.com/course/google-trends-analysis-using-r-45970
Hierarchical Clustering using Euclidean Distance,Coursera,English,https://www.classcentral.com/course/genome-analysis-hierarchical-clustering-22123
Python Pandas Basics: Load and Export Data,Coursera,English,https://www.classcentral.com/course/python-pandas-usage-basics-load-and-export-data-32773
Creating an Interactive Graph with Tableau Public,Coursera,English,https://www.classcentral.com/course/creating-interactive-graph-tableau-public-22628
Create a Custom Click-Thru Dashboard using Google Studio,Coursera,English,https://www.classcentral.com/course/create-custom-click-thru-dashboard-google-studio-34254
Analysing Unstructured Data using MongoDB and PySpark,Coursera,English,https://www.classcentral.com/course/analyse-unstructured-data-mongodb-pyspark-22186
"Cleaning, Reshaping, and Expanding Datasets in Python",Coursera,English,https://www.classcentral.com/course/cleaning-reshaping-and-expanding-data-in-python-21999
Simulating Time Series Data by Parallel Computing in Python,Coursera,English,https://www.classcentral.com/course/simulating-time-series-data-parallel-computing-py-22132
" Limits for AP®(Calculus AB,BC) & Data Science -with Visuals",Coursera,English,https://www.classcentral.com/course/limits-course-for-advanced-placement-and-data-sci-32665
Visualize Your Data with Google Data Studio,Coursera,English,https://www.classcentral.com/course/visualize-data-google-data-studio-34231
 Cluster Analysis using RCmdr,Coursera,English,https://www.classcentral.com/course/cluster-analysis-rcmdr-21651
Time Series Forecasting and ARIMA Models in Python,Coursera,English,https://www.classcentral.com/course/time-series-arima-models-24340
Analyze Survey Data using Principal Component Analysis,Coursera,English,https://www.classcentral.com/course/analyze-survey-data-pca-22312
Cryptocurrency Data Visualization using Plotly Express,Coursera,English,https://www.classcentral.com/course/cryptocurrency-data-visualization-using-plotly-ex-22232
"Reverse and complement nucleic acid sequences (DNA, RNA) using R",Coursera,English,https://www.classcentral.com/course/reverse-and-complement-nucleic-acid-sequences-usi-20825
Plots (Graphics) in R,Coursera,English,https://www.classcentral.com/course/plots-graphics-in-r-20854
Simulating Viral Pandemics in Python,Coursera,English,https://www.classcentral.com/course/simulating-viral-pandemic-in-python-21042
Processing and Visualizing Logs With Elastic Stack,Coursera,English,https://www.classcentral.com/course/processing-and-visualizing-logs-with-elastic-stac-32761
Graphing with ggplot2,Coursera,English,https://www.classcentral.com/course/graphing-with-ggplot2-19240
Data Analytics:  Scraping Data using Hadley Wickam's Rvest package in R,Coursera,English,https://www.classcentral.com/course/scrape-data-using-rvest-for-analytics-20304
"Python: Imputations, Feature Creation & Statistical Analysis",Coursera,English,https://www.classcentral.com/course/imputations-feature-creation-21653
Using Descriptive Statistics to Analyze Data in R,Coursera,English,https://www.classcentral.com/course/descriptive-statistics-analyze-data-r-20897
Plots (Graphics) for Data Science,Coursera,English,https://www.classcentral.com/course/plots-graphics-for-data-science-20778
Mining Data to Extract and Visualize Insights in Python,Coursera,English,https://www.classcentral.com/course/data-mining-visualization-in-python-20976
Introduction to Data Visualization using Google Data Studio ,Coursera,English,https://www.classcentral.com/course/data-visualization-google-data-studio-32752
Python Geospatial Data Analysis,Coursera,English,https://www.classcentral.com/course/python-geospatial-data-analysis-21396
Intermediate Pandas Python Library for Data Science,Coursera,English,https://www.classcentral.com/course/intermediate-pandas-python-library-data-science-21326
Python World Map Geovisualization Dashboard using Covid Data,Coursera,English,https://www.classcentral.com/course/python-world-map-geovisualization-dashboard-covid-21328
Building Resilient Streaming Analytics Systems on GCP auf Deutsch,Coursera,German,https://www.classcentral.com/course/streaming-analytics-systems-gcp-de-20124
Geo-Visualization in Python,Coursera,English,https://www.classcentral.com/course/geo-visualization-in-python-20777
Pandas Python Library for Beginners in Data Science,Coursera,English,https://www.classcentral.com/course/pandas-python-library-beginners-data-science-21129
"Chimiometrie, chapitre 1/2: les méthodes non supervisées",France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-chimiometrie-chapitre-1-2-les-methodes-non-supervisees-11633
La métabolomique : enjeux technologiques et scientifiques,France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-la-metabolomique-enjeux-technologiques-et-scientifiques-11634
Statistical Data Visualization with Seaborn,Coursera,English,https://www.classcentral.com/course/statistical-data-visualization-seaborn-19036
Statistical Data Visualization in Python,Coursera,English,https://www.classcentral.com/course/statistical-visualization-20853
Datascience et Analyse situationnelle : dans les coulisses du Big Data,IONIS,French,https://www.classcentral.com/course/ionis-datascience-et-analyse-situationnelle-dans-les-coulisses-du-big-data-2186
Numérique et recherche en santé et sciences du vivant,France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-numerique-et-recherche-en-sante-et-sciences-du-vivant-4511
Tableau в анализе данных. Финальный проект,Coursera,Russian,https://www.classcentral.com/course/tableau-culmination-project-64813
Excel によるデータの分析と可視化,edX,Japanese,https://www.classcentral.com/course/edx-excel-8607
Эксперименты и A/B-тестирование. Финальный проект,Coursera,Russian,https://www.classcentral.com/course/experimentation-ab-testing-culminating-project-65660
Перекрестные исследования,Coursera,Russian,https://www.classcentral.com/course/crossover-designs-65661
Визуализация и презентация результатов в Tableau,Coursera,Russian,https://www.classcentral.com/course/how-to-present-your-findings-using-tableau-64792
Анализ данных в маркетинге,Coursera,Russian,https://www.classcentral.com/course/data-science-in-marketing-65646
Разбираем процесс анализа данных,Coursera,Russian,https://www.classcentral.com/course/understanding-data-science-workflow-64809
Analyse de données quantitatives en sciences humaines et sociales (ADSHS),France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-analyse-de-donnees-quantitatives-en-sciences-humaines-et-sociales-adshs-10949
Metodologia de Ciência de Dados,Coursera,Portuguese,https://www.classcentral.com/course/data-science-methodology-pt-34071
B.I.G : BioInformatique pour la Génétique Médicale,France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-b-i-g-bioinformatique-pour-la-genetique-medicale-18018
Visualização de dados com o Python,Coursera,Portuguese,https://www.classcentral.com/course/python-for-data-visualization-pt-37639
ما علم البيانات؟,Coursera,Arabic,https://www.classcentral.com/course/what-is-datascience-ar-34131
BD**2: Des Bases de Données à Big Data,France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-bd-2-des-bases-de-donnees-a-big-data-10912
Iniciación a la Infografía y Visualización de datos.,Miríadax,Spanish,https://www.classcentral.com/course/miriadax-iniciacion-a-la-infografia-y-visualizacion-de-datos-14710
Introducción al Business Intelligence y al Big Data,Miríadax,Spanish,https://www.classcentral.com/course/miriadax-introduccion-al-business-intelligence-y-al-big-data-5657
高校生のためのデータサイエンス入門 (pt010),gacco,Japanese,https://www.classcentral.com/course/gacco-pt010-9039
"Au-delà des frontières, diagnostiquer les territoires",France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-au-dela-des-frontieres-diagnostiquer-les-territoires-12525
大学生のためのデータサイエンス（Ⅰ）(ga109),gacco,Japanese,https://www.classcentral.com/course/gacco-ga109-12239
منهجية علم البيانات,Coursera,Arabic,https://www.classcentral.com/course/data-science-methodology-ar-34072
Data Mining - Clustering and Association,EduOpen,Italian,https://www.classcentral.com/course/eduopen-data-mining-clustering-and-association-7666
ビッグデータマネジメント・アナリティクス (ga119),gacco,Japanese,https://www.classcentral.com/course/gacco-ga119-12243
